Region;ort;gid;GENERATION;Informant;PAM-Wert_WSS;Kontrollwert_WSS;PAM-Wert_NOSO;Kontrollwert_NOSO;PAM-Wert_NOT;Kontrollwert_NOT;PAM-Wert_INT;Kontrollwert_INT;PAM-Wert_FG;Kontrollwert_FG;PAM-Wert_WSD;Kontrollwert_WSD
Ripuarisch;Bergisch-Gladbach;135950;jung;GLJUNG1;1.25;1.1;0.92;0.7;-;-;1.65;1.2;1.54;1.3;1.96;1.7
Ripuarisch;Düren;134959;alt;DNALT1;1.02;;1.11;;-;-;1.71;;2.18;;2.67;
Ripuarisch;Düren;134959;mittel;DN1;0.96;;0.79;;-;-;1.57;;1.33;;2.36;
Ripuarisch;Düren;134959;jung;DNJUNG1;1.14;;0.99;;-;-;1.59;;1.75;;1.41;
Ripuarisch;Troisdorf;134279;alt;SUALT;1.11;0.8;1.42;1;-;-;1.48;1.2;2.31;2.1;2.64;2
Ripuarisch;Troisdorf;134279;mittel;SU1;0.89;0.6;0.66;0.6;1.35;;1.48;1.3;2.11;1.8;2.23;1.8
Ripuarisch;Troisdorf;134279;jung;SUJUNG2;1.05;0.8;0.67;0.7;-;-;1.37;0.8;1.32;1.1;1.22;1.5
Ripuarisch-Niederfränkisch;Krefeld;135092;alt;KRALT3;1.13;0.8;1.25;0.9;-;-;1.63;1.2;2.31;2;3.11;2.6
Ripuarisch-Niederfränkisch;Krefeld;135092;mittel;KR5;0.99;0.7;1.07;0.8;-;-;1.44;1.3;1.74;1.6;2.8;2.5
Ripuarisch-Niederfränkisch;Krefeld;135092;jung;KRJUNG1;0.86;0.7;0.68;0.7;-;-;1.59;1.2;1.26;1.3;1.4;1.3
Ripuarisch-Niederfränkisch;Mönchengladbach;136187;alt;MGALT;1.28;0.9;1.13;0.8;-;-;1.64;1.3;2.24;2.1;2.84;2.7
Ripuarisch-Niederfränkisch;Mönchengladbach;136187;mittel;MG6;1.1;0.8;1.09;0.8;1.58;;1.74;1.3;1.51;1.2;1.56;1.2
Ripuarisch-Niederfränkisch;Mönchengladbach;136187;jung;MGJUNG1;0.95;0.6;0.82;0.6;-;-;1.49;1.2;1.5;1.3;1.63;1.4
Moselfränkisch;Montabaur;94138;mittel;MT2;0.98;;1.07;;-;-;1.46;;1.85;;2.09;
Moselfränkisch;Montabaur;94138;alt;MTALT3;0.98;;1.23;;-;-;1.84;;1.99;;1.9;
Moselfränkisch;Montabaur;94138;jung;MTJUNG1;0.79;;0.61;;-;-;1.23;;-;-;1.09;
Moselfränkisch;Schweich;100353;mittel;TRSW2;1.08;;1.26;;1.37;;1.8;;1.75;;2.05;
Moselfränkisch;Schweich;100353;alt;TRSWALT2;1.17;;0.65;;-;-;1.31;;1.72;;2.33;
Moselfränkisch;Schweich;100353;jung;TRSWJUNG1;0.99;;0.88;;-;-;1.71;;1.89;;2.15;
Moselfränkisch;Wittlich;100001;alt;WITALT1;0.93;0.7;0.8;0.5;-;-;1.54;1;1.72;1.4;2.21;1.9
Moselfränkisch;Wittlich;100001;mittel;WIT10;0.55;0.4;0.52;0.4;1.34;0.7;1.31;0.7;1.48;0.9;1.3;1
Moselfränkisch;Wittlich;100001;jung;WITJUNG2;0.72;0.6;0.82;0.5;-;-;1.16;0.6;1.34;0.9;1.98;n.d.
Moselfränkisch-Ripuarisch;Altenkirchen;100600;alt;AKALT1;0.78;;0.83;;-;-;1.53;;2.01;;2.37;
Moselfränkisch-Ripuarisch;Altenkirchen;100600;mittel;AK2;0.91;;0.8;;-;-;1.18;;1.85;;2.04;
Moselfränkisch-Ripuarisch;Altenkirchen;100600;jung;AKJUNG1;0.94;;1.09;;-;-;1.76;;1.62;;1.47;
Rheinfränkisch;Heidelberg;132828;mittel;HD7;1.07;;1.14;;1.37;;1.82;;2.12;1.47;2.31;
